Hotel/Resort Name,Type of Residence,Area,Rating,Rating,Reviews,Booking website 1,Booking website 1_Price,Booking website 2,Booking website 2 -Price,Booking website 3,Booking website 3 -Price,Cancellation Details,Breakfast Provision,Payement option,Discount
Hotel Mohegan Sun,Resort,Uncasville,8.8,     Excellent  ,3670,Booking.com,23038,Hotel site,23038,,,Free cancellation,,,21%
Holiday Inn Express & Suites Clinton,Hotel,Clinton,8.6,     Excellent  ,699,Holiday Inn Express,13889,Booking.com,13890,,,Free cancellation,Breakfast included,,Our lowest price
Hilton Vacation Club Ocean Beach Club Virginia Beach,Hotel,Virginia Beach,8,     Very good  ,4539,Booking.com,11096,Hilton Grand Vacations,10738,Trip.com,9785,Free cancellation,Breakfast included,,20%
The San Luis Resort Spa & Conference Center,Serviced apartment,Galveston,8.5,     Excellent  ,2655,Booking.com,24910,Trip.com,26033,Agoda,17406,Free cancellation,Breakfast included,,
Gaylord Texan Resort & Convention Center,Hotel,Grapevine,8.5,     Excellent  ,3691,Booking.com,31958,Gaylord Hotels,31957,Prestigia,27310,Free cancellation,Breakfast included,Pay at the property,
Fairmont Scottsdale Princess,Hotel,Scottsdale,8.9,     Excellent  ,2751,Booking.com,65102,Fairmont,60641,Fairmont,60641,Free cancellation,Breakfast included,,
Hampton Inn Blue Ridge,Hotel,Blue Ridge,9.3,     Excellent  ,968,Booking.com,19221,Hampton Inn,19222,Hotels.com,19220,Free cancellation,Breakfast included,,Lower than hotel site
Holiday Inn Express & Suites Brentwood,Hotel,Brentwood,8.2,     Very good  ,787,Holiday Inn Express,15606,Booking.com,16428,Trip.com,13756,Free cancellation,Breakfast included,Pay at the property,Book with the hotel
The Westin Cleveland Downtown,Hotel,Cleveland,8.3,     Very good  ,2637,Booking.com,17506,Westin,17506,ZenHotels.com,17503,Free cancellation,Breakfast included,Pay at the property,
Sheraton Gateway Los Angeles Hotel,Hotel,Los Angeles,8,     Very good  ,11558,Booking.com,13442,Sheraton,13442,ZenHotels.com,13441,Free cancellation,Breakfast included,,
Best Western Hood River Inn,Hotel,Hood River,8.7,     Excellent  ,2836,Booking.com,17225,Trip.com,17228,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Holiday Inn Express Athens-University Area,Hotel,Athens,8.5,     Excellent  ,4449,Booking.com,13242,Holiday Inn Express,13242,,,Free cancellation,Breakfast included,,Our lowest price
Timberline Lodge,Hotel,Mount Hood,8.4,     Very good  ,313,Hotel site,18727,Booking.com,20132,,,Free cancellation,Breakfast included,,Our lowest price
Comfort Suites Chincoteague,Hotel,Chincoteague,9.3,     Excellent  ,2668,Booking.com,10008,Hotels.com,9930,Agoda,9843,Free cancellation,Breakfast included,,42%
Frankenmuth Bavarian Inn Lodge,Hotel,Frankenmuth,9,     Excellent  ,4085,Booking.com,15598,Hotels.com,15796,,,Free cancellation,Breakfast included,,Our lowest price
Autocamp Yosemite,,Midpines,9.3,     Excellent  ,855,Booking.com,17969,Hotels.com,17885,Hotels.com,17885,Free cancellation,Breakfast included,,34%
Shell Island Resort,Resort,Wrightsville Beach,8.1,     Very good  ,2843,Booking.com,13218,Hotels.com,13218,Trip.com,12381,Free cancellation,Breakfast included,Pay at the property,42%
Holiday Inn Express & Suites Lawton-Fort Sill,Hotel,Lawton,7.8,     Good  ,1802,Holiday Inn Express,14482,,,,,Free cancellation,Breakfast included,,Our lowest price
Grand Sierra Resort and Casino,Resort,Reno,7.9,     Good  ,17210,Hotel site,11333,Hotels.com,12294,,,Free cancellation,Breakfast included,,Our lowest price
Hotel Drover  Autograph Collection,,Fort Worth,9.3,     Excellent  ,674,Booking.com,48946,Hotels.com,48717,ZenHotels.com,48710,Free cancellation,Breakfast included,Pay at the property,
Galt House Hotel,Hotel,Louisville,8.2,     Very good  ,11398,Booking.com,25021,Hotels.com,25363,Priceline,24989,Free cancellation,Breakfast included,Pay at the property,
Amway Grand Plaza,Hotel,Grand Rapids,8.5,     Excellent  ,2644,Booking.com,22403,Curio Collection,22405,Hotels.com,22402,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Hotel del Coronado  Curio Collection by Hilton,Hotel,Coronado,7.6,     Good  ,3268,Booking.com,46603,Curio Collection,46513,Trip.com,42231,Free cancellation,Breakfast included,,
Mountain Lodge Telluride,Hotel,Telluride,8.5,     Excellent  ,2871,Booking.com,23888,Trip.com,23892,Hotels.com,23887,Free cancellation,Breakfast included,,26%
Holiday Inn Express & Suites Medina,Hotel,Medina,9.2,     Excellent  ,1368,Holiday Inn Express,15109,Booking.com,15109,Agoda,15108,Free cancellation,Breakfast included,Pay at the property,
Gouldings Apartments,,Monument Valley,8.7,     Excellent  ,183,Booking.com,14679,Trip.com,15476,Agoda,14678,Free cancellation,Breakfast included,,30%
Hampton Inn & Suites Watertown Boston,,Watertown,9.1,     Excellent  ,1206,Booking.com,16874,Hotels.com,16874,,,Free cancellation,Breakfast included,Breakfast included,19%
Hotel Hilton Dallas/Rockwall Lakefront,Hotel,Rockwall,8.6,     Excellent  ,2651,Booking.com,16498,Hilton,16500,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Fairmont Sonoma Mission Inn and Spa,Hotel,Sonoma,8.4,     Very good  ,4369,Booking.com,38797,Fairmont,34138,Prestigia,33536,Free cancellation,Breakfast included,,
